,Countries,TotalTest,Positive,UpdateDate,TestPerMillion,PositivePerThousand
0,Argentina,4843,966,966,107,199
1,Armenia,3065,532,532,1038,86
2,Australia,245623,4559,4559,9670,19
3,Austria,52344,9974,9974,5880,191
4,Azerbaijan,30000,273,273,3031,9
5,Bahrain,33852,268,268,21569,88
6,Bangladesh,1076,48,48,7,446
7,Belarus,30000,152,152,3161,51
8,Belgium,18360,1486,1486,1594,81
9,Bolivia,591,97,97,52,164
10,Bosnia and Herzegovina,3068,420,420,890,137
11,Brazil,45708,428,428,218,94
12,Canada,225705,7424,7424,5956,33
13,Chile,35142,2738,2738,1843,78
14,Guangdong,320000,,,2820,14
15,Guangdong,320000,,,2820,14
16,Colombia,17580,906,906,364,52
17,Costa Rica,3046,263,263,609,86
18,Croatia,6404,860,860,1571,134
19,Czechia,48811,3001,3001,4583,61
20,Denmark,28642,3039,3039,4831,106
21,Ecuador,7982,2240,2240,467,281
22,Estonia,12401,745,745,9336,60
23,Finland,18000,1163,1163,3254,65
24,France,101046,20068,20068,1508,199
25,Germany,483295,36508,36508,5812,76
26,Greece,15961,1212,1212,1482,76
27,Grenada,18,0,0,162,0
28,Hong Kong,90000,682,682,12028,8
29,Hungary,13301,447,447,1361,34
30,Iceland,17904,1135,1135,49152,63
31,India,42788,1251,1251,32,29
32,Indonesia,6663,1528,1528,25,229
33,Iran,80000,21638,21638,962,270
34,Ireland,30213,3235,3235,6345,107
35,Israel,66461,4372,4372,7244,66
36,Italy,506968,105792,105792,8405,209
37,Jamaica,250,30,30,92,120
38,Japan,32497,1953,1953,258,60
39,Kazakhstan,5093,,,276,
40,Kosovo,1267,112,112,700,88
41,Kyrgyzstan,8186,107,107,1281,13
42,Latvia,14313,376,376,7455,26
43,Lithuania,11280,533,533,4037,47
44,Malaysia,24168,2161,2161,737,89
45,Malta,4462,139,139,9040,31
46,Mexico,9481,1049,1049,75,111
47,Montenegro,834,105,105,1321,126
48,Nepal,1060,5,5,38,47
49,Netherlands,46810,7705,7705,2686,165
50,New Zealand,21384,600,600,4301,28
51,North Macedonia,3518,329,329,1694,94
52,Norway,85136,4102,4102,15861,48
53,Pakistan,14748,1625,1625,69,110
54,Palestine,2519,,,499,
55,Panama,4856,674,674,1163,139
56,Peru,12669,852,852,386,67
57,Philippines,3938,2084,2084,39,529
58,Poland,51419,2132,2132,1340,41
59,Portugal,38042,5962,5962,3702,182
60,Romania,24654,2245,2245,1271,91
61,Russia,536669,1836,1836,3657,34
62,Serbia,3084,785,785,443,255
63,Singapore,39000,558,558,6838,14
64,Slovakia,8220,363,363,1508,44
65,Slovenia,22474,814,814,10732,36
66,South Africa,35593,1280,1280,606,36
67,South Korea,410564,9786,9786,7940,24
68,Spain,355000,24926,24926,7596,70
69,Sweden,24500,2510,2510,2859,102
70,Switzerland,111000,14336,14336,12952,129
71,Taiwan,31800,322,322,1337,101
72,Thailand,17829,1524,1524,257,85
73,Trinidad and Tobago,453,66,66,332,146
74,Turkey,92403,13531,13531,1111,146
75,Ukraine,2642,549,549,63,208
76,United Arab Emirates,220000,570,570,22918,26
77,United Kingdom,143186,25150,25150,2120,176
78,United States,1108500,184770,184770,3377,167
79,Uruguay,1538,189,189,443,123
80,Vietnam,35808,207,207,372,58
